sim_number	sample_id	sim_file	m_kinetics_isotype_1_scheme_2_transition_2_parameter_1
901	906	../simulations/n_vars_1\sim_data\sample_906\sim_output\1\sim_prot_1_1_r1.txt	564.5648252043342
902	907	../simulations/n_vars_1\sim_data\sample_907\sim_output\1\sim_prot_1_1_r1.txt	72.11836362766758
903	908	../simulations/n_vars_1\sim_data\sample_908\sim_output\1\sim_prot_1_1_r1.txt	63.31551461009069
904	909	../simulations/n_vars_1\sim_data\sample_909\sim_output\1\sim_prot_1_1_r1.txt	269.8410207742516
905	910	../simulations/n_vars_1\sim_data\sample_910\sim_output\1\sim_prot_1_1_r1.txt	236.1829582733099
906	911	../simulations/n_vars_1\sim_data\sample_911\sim_output\1\sim_prot_1_1_r1.txt	200.4061431152657
907	912	../simulations/n_vars_1\sim_data\sample_912\sim_output\1\sim_prot_1_1_r1.txt	63.50589079332082
908	913	../simulations/n_vars_1\sim_data\sample_913\sim_output\1\sim_prot_1_1_r1.txt	235.3113189423181
909	914	../simulations/n_vars_1\sim_data\sample_914\sim_output\1\sim_prot_1_1_r1.txt	121.3805327772095
910	915	../simulations/n_vars_1\sim_data\sample_915\sim_output\1\sim_prot_1_1_r1.txt	368.7194161072831
911	916	../simulations/n_vars_1\sim_data\sample_916\sim_output\1\sim_prot_1_1_r1.txt	395.8830555482189
912	917	../simulations/n_vars_1\sim_data\sample_917\sim_output\1\sim_prot_1_1_r1.txt	93.22861452171503
913	918	../simulations/n_vars_1\sim_data\sample_918\sim_output\1\sim_prot_1_1_r1.txt	299.0234448634156
914	919	../simulations/n_vars_1\sim_data\sample_919\sim_output\1\sim_prot_1_1_r1.txt	334.3824768545545
915	920	../simulations/n_vars_1\sim_data\sample_920\sim_output\1\sim_prot_1_1_r1.txt	389.9196921324776
916	921	../simulations/n_vars_1\sim_data\sample_921\sim_output\1\sim_prot_1_1_r1.txt	303.951356200138
917	922	../simulations/n_vars_1\sim_data\sample_922\sim_output\1\sim_prot_1_1_r1.txt	139.0608598633141
918	923	../simulations/n_vars_1\sim_data\sample_923\sim_output\1\sim_prot_1_1_r1.txt	81.1733844696032
919	924	../simulations/n_vars_1\sim_data\sample_924\sim_output\1\sim_prot_1_1_r1.txt	111.8196608830781
920	925	../simulations/n_vars_1\sim_data\sample_925\sim_output\1\sim_prot_1_1_r1.txt	127.2507901437
921	926	../simulations/n_vars_1\sim_data\sample_926\sim_output\1\sim_prot_1_1_r1.txt	359.6663901629385
922	927	../simulations/n_vars_1\sim_data\sample_927\sim_output\1\sim_prot_1_1_r1.txt	66.0044492132849
923	928	../simulations/n_vars_1\sim_data\sample_928\sim_output\1\sim_prot_1_1_r1.txt	148.9508209480994
924	929	../simulations/n_vars_1\sim_data\sample_929\sim_output\1\sim_prot_1_1_r1.txt	377.9504851816056
925	930	../simulations/n_vars_1\sim_data\sample_930\sim_output\1\sim_prot_1_1_r1.txt	192.06729337486
926	931	../simulations/n_vars_1\sim_data\sample_931\sim_output\1\sim_prot_1_1_r1.txt	155.9695708085713
927	932	../simulations/n_vars_1\sim_data\sample_932\sim_output\1\sim_prot_1_1_r1.txt	175.0429372639517
928	933	../simulations/n_vars_1\sim_data\sample_933\sim_output\1\sim_prot_1_1_r1.txt	188.8125233587683
929	934	../simulations/n_vars_1\sim_data\sample_934\sim_output\1\sim_prot_1_1_r1.txt	221.8586481231474
930	935	../simulations/n_vars_1\sim_data\sample_935\sim_output\1\sim_prot_1_1_r1.txt	500.4520802184323
931	936	../simulations/n_vars_1\sim_data\sample_936\sim_output\1\sim_prot_1_1_r1.txt	466.363640140048
932	937	../simulations/n_vars_1\sim_data\sample_937\sim_output\1\sim_prot_1_1_r1.txt	119.509341240417
933	938	../simulations/n_vars_1\sim_data\sample_938\sim_output\1\sim_prot_1_1_r1.txt	183.9423733836627
934	939	../simulations/n_vars_1\sim_data\sample_939\sim_output\1\sim_prot_1_1_r1.txt	79.83976061590666
935	940	../simulations/n_vars_1\sim_data\sample_940\sim_output\1\sim_prot_1_1_r1.txt	497.6141200749328
936	941	../simulations/n_vars_1\sim_data\sample_941\sim_output\1\sim_prot_1_1_r1.txt	130.4870609517224
937	942	../simulations/n_vars_1\sim_data\sample_942\sim_output\1\sim_prot_1_1_r1.txt	126.2377425472096
938	943	../simulations/n_vars_1\sim_data\sample_943\sim_output\1\sim_prot_1_1_r1.txt	240.201371927072
939	944	../simulations/n_vars_1\sim_data\sample_944\sim_output\1\sim_prot_1_1_r1.txt	75.23656822725006
940	945	../simulations/n_vars_1\sim_data\sample_945\sim_output\1\sim_prot_1_1_r1.txt	461.2450439517589
941	946	../simulations/n_vars_1\sim_data\sample_946\sim_output\1\sim_prot_1_1_r1.txt	116.8812616040512
942	947	../simulations/n_vars_1\sim_data\sample_947\sim_output\1\sim_prot_1_1_r1.txt	336.5700834604992
943	948	../simulations/n_vars_1\sim_data\sample_948\sim_output\1\sim_prot_1_1_r1.txt	64.324001903933
944	949	../simulations/n_vars_1\sim_data\sample_949\sim_output\1\sim_prot_1_1_r1.txt	146.7793825683168
945	950	../simulations/n_vars_1\sim_data\sample_950\sim_output\1\sim_prot_1_1_r1.txt	203.4759639016634
946	951	../simulations/n_vars_1\sim_data\sample_951\sim_output\1\sim_prot_1_1_r1.txt	276.8567567858721
947	952	../simulations/n_vars_1\sim_data\sample_952\sim_output\1\sim_prot_1_1_r1.txt	109.7090679134191
