sim_number	sample_id	sim_file	m_kinetics_isotype_1_scheme_2_transition_2_parameter_1
1	1	../simulations/n_vars_1\sim_data\sample_1\sim_output\1\sim_prot_1_1_r1.txt	212.0890144699688
2	2	../simulations/n_vars_1\sim_data\sample_2\sim_output\1\sim_prot_1_1_r1.txt	174.2125878165658
3	3	../simulations/n_vars_1\sim_data\sample_3\sim_output\1\sim_prot_1_1_r1.txt	73.26319192544116
4	4	../simulations/n_vars_1\sim_data\sample_4\sim_output\1\sim_prot_1_1_r1.txt	447.7971716812212
5	5	../simulations/n_vars_1\sim_data\sample_5\sim_output\1\sim_prot_1_1_r1.txt	176.083298143502
6	6	../simulations/n_vars_1\sim_data\sample_6\sim_output\1\sim_prot_1_1_r1.txt	186.8988672434297
7	7	../simulations/n_vars_1\sim_data\sample_7\sim_output\1\sim_prot_1_1_r1.txt	364.9238877985599
8	8	../simulations/n_vars_1\sim_data\sample_8\sim_output\1\sim_prot_1_1_r1.txt	131.1054654014121
9	9	../simulations/n_vars_1\sim_data\sample_9\sim_output\1\sim_prot_1_1_r1.txt	333.7954419338841
10	10	../simulations/n_vars_1\sim_data\sample_10\sim_output\1\sim_prot_1_1_r1.txt	492.042296210785
11	11	../simulations/n_vars_1\sim_data\sample_11\sim_output\1\sim_prot_1_1_r1.txt	211.4834967352884
12	12	../simulations/n_vars_1\sim_data\sample_12\sim_output\1\sim_prot_1_1_r1.txt	357.6776902455398
13	13	../simulations/n_vars_1\sim_data\sample_13\sim_output\1\sim_prot_1_1_r1.txt	82.9278228860383
14	14	../simulations/n_vars_1\sim_data\sample_14\sim_output\1\sim_prot_1_1_r1.txt	390.1589438492745
15	15	../simulations/n_vars_1\sim_data\sample_15\sim_output\1\sim_prot_1_1_r1.txt	180.1883883392651
16	16	../simulations/n_vars_1\sim_data\sample_16\sim_output\1\sim_prot_1_1_r1.txt	76.48503993392025
17	17	../simulations/n_vars_1\sim_data\sample_17\sim_output\1\sim_prot_1_1_r1.txt	157.7233358994408
18	18	../simulations/n_vars_1\sim_data\sample_18\sim_output\1\sim_prot_1_1_r1.txt	109.5536578568798
19	19	../simulations/n_vars_1\sim_data\sample_19\sim_output\1\sim_prot_1_1_r1.txt	115.8314626595005
20	20	../simulations/n_vars_1\sim_data\sample_20\sim_output\1\sim_prot_1_1_r1.txt	445.4179167086593
21	21	../simulations/n_vars_1\sim_data\sample_21\sim_output\1\sim_prot_1_1_r1.txt	112.7923463185487
22	22	../simulations/n_vars_1\sim_data\sample_22\sim_output\1\sim_prot_1_1_r1.txt	80.49141958918639
23	23	../simulations/n_vars_1\sim_data\sample_23\sim_output\1\sim_prot_1_1_r1.txt	581.4934199190523
24	24	../simulations/n_vars_1\sim_data\sample_24\sim_output\1\sim_prot_1_1_r1.txt	176.6238139244089
25	25	../simulations/n_vars_1\sim_data\sample_25\sim_output\1\sim_prot_1_1_r1.txt	558.5580798086048
26	26	../simulations/n_vars_1\sim_data\sample_26\sim_output\1\sim_prot_1_1_r1.txt	431.8224386844688
27	27	../simulations/n_vars_1\sim_data\sample_27\sim_output\1\sim_prot_1_1_r1.txt	569.4934963947337
28	28	../simulations/n_vars_1\sim_data\sample_28\sim_output\1\sim_prot_1_1_r1.txt	439.2918079271541
29	29	../simulations/n_vars_1\sim_data\sample_29\sim_output\1\sim_prot_1_1_r1.txt	185.7245623606872
30	30	../simulations/n_vars_1\sim_data\sample_30\sim_output\1\sim_prot_1_1_r1.txt	604.0321714342829
31	31	../simulations/n_vars_1\sim_data\sample_31\sim_output\1\sim_prot_1_1_r1.txt	239.0638597790966
32	32	../simulations/n_vars_1\sim_data\sample_32\sim_output\1\sim_prot_1_1_r1.txt	517.5044993627557
33	33	../simulations/n_vars_1\sim_data\sample_33\sim_output\1\sim_prot_1_1_r1.txt	310.0319885706512
34	34	../simulations/n_vars_1\sim_data\sample_34\sim_output\1\sim_prot_1_1_r1.txt	201.9543967098973
35	35	../simulations/n_vars_1\sim_data\sample_35\sim_output\1\sim_prot_1_1_r1.txt	121.1761060145832
36	36	../simulations/n_vars_1\sim_data\sample_36\sim_output\1\sim_prot_1_1_r1.txt	92.92074817170715
37	37	../simulations/n_vars_1\sim_data\sample_37\sim_output\1\sim_prot_1_1_r1.txt	117.2169462193615
38	38	../simulations/n_vars_1\sim_data\sample_38\sim_output\1\sim_prot_1_1_r1.txt	342.3744963556189
39	39	../simulations/n_vars_1\sim_data\sample_39\sim_output\1\sim_prot_1_1_r1.txt	70.72462603996843
40	40	../simulations/n_vars_1\sim_data\sample_40\sim_output\1\sim_prot_1_1_r1.txt	123.5855361703741
41	41	../simulations/n_vars_1\sim_data\sample_41\sim_output\1\sim_prot_1_1_r1.txt	209.5987399665686
42	42	../simulations/n_vars_1\sim_data\sample_42\sim_output\1\sim_prot_1_1_r1.txt	255.9631008862484
43	43	../simulations/n_vars_1\sim_data\sample_43\sim_output\1\sim_prot_1_1_r1.txt	372.7666533343236
44	44	../simulations/n_vars_1\sim_data\sample_44\sim_output\1\sim_prot_1_1_r1.txt	309.5778631516367
45	45	../simulations/n_vars_1\sim_data\sample_45\sim_output\1\sim_prot_1_1_r1.txt	189.317218095737
46	46	../simulations/n_vars_1\sim_data\sample_46\sim_output\1\sim_prot_1_1_r1.txt	478.1019332198991
47	47	../simulations/n_vars_1\sim_data\sample_47\sim_output\1\sim_prot_1_1_r1.txt	295.4738879314546
48	48	../simulations/n_vars_1\sim_data\sample_48\sim_output\1\sim_prot_1_1_r1.txt	494.6260275109407
49	49	../simulations/n_vars_1\sim_data\sample_49\sim_output\1\sim_prot_1_1_r1.txt	223.2965811002192
50	50	../simulations/n_vars_1\sim_data\sample_50\sim_output\1\sim_prot_1_1_r1.txt	401.9854824075908
51	51	../simulations/n_vars_1\sim_data\sample_51\sim_output\1\sim_prot_1_1_r1.txt	216.9435331222335
52	52	../simulations/n_vars_1\sim_data\sample_52\sim_output\1\sim_prot_1_1_r1.txt	246.7418966423517
53	53	../simulations/n_vars_1\sim_data\sample_53\sim_output\1\sim_prot_1_1_r1.txt	78.1336979691778
54	54	../simulations/n_vars_1\sim_data\sample_54\sim_output\1\sim_prot_1_1_r1.txt	371.7300169521287
55	55	../simulations/n_vars_1\sim_data\sample_55\sim_output\1\sim_prot_1_1_r1.txt	220.2108289415014
56	56	../simulations/n_vars_1\sim_data\sample_56\sim_output\1\sim_prot_1_1_r1.txt	362.1999975552049
57	57	../simulations/n_vars_1\sim_data\sample_57\sim_output\1\sim_prot_1_1_r1.txt	120.5520968255208
58	58	../simulations/n_vars_1\sim_data\sample_58\sim_output\1\sim_prot_1_1_r1.txt	544.7142191240849
59	59	../simulations/n_vars_1\sim_data\sample_59\sim_output\1\sim_prot_1_1_r1.txt	224.9849452873961
60	60	../simulations/n_vars_1\sim_data\sample_60\sim_output\1\sim_prot_1_1_r1.txt	80.27089142688908
61	61	../simulations/n_vars_1\sim_data\sample_61\sim_output\1\sim_prot_1_1_r1.txt	264.0924267143556
62	62	../simulations/n_vars_1\sim_data\sample_62\sim_output\1\sim_prot_1_1_r1.txt	509.3577328722227
63	63	../simulations/n_vars_1\sim_data\sample_63\sim_output\1\sim_prot_1_1_r1.txt	91.49224299845949
64	64	../simulations/n_vars_1\sim_data\sample_64\sim_output\1\sim_prot_1_1_r1.txt	426.8842053582122
65	65	../simulations/n_vars_1\sim_data\sample_65\sim_output\1\sim_prot_1_1_r1.txt	567.7987426119172
66	66	../simulations/n_vars_1\sim_data\sample_66\sim_output\1\sim_prot_1_1_r1.txt	94.5688521743922
67	67	../simulations/n_vars_1\sim_data\sample_67\sim_output\1\sim_prot_1_1_r1.txt	383.5436328607296
68	68	../simulations/n_vars_1\sim_data\sample_68\sim_output\1\sim_prot_1_1_r1.txt	302.26695031882
69	69	../simulations/n_vars_1\sim_data\sample_69\sim_output\1\sim_prot_1_1_r1.txt	96.43283637411876
70	70	../simulations/n_vars_1\sim_data\sample_70\sim_output\1\sim_prot_1_1_r1.txt	331.9451478387234
71	71	../simulations/n_vars_1\sim_data\sample_71\sim_output\1\sim_prot_1_1_r1.txt	213.2453014184287
72	72	../simulations/n_vars_1\sim_data\sample_72\sim_output\1\sim_prot_1_1_r1.txt	136.9455054475028
73	73	../simulations/n_vars_1\sim_data\sample_73\sim_output\1\sim_prot_1_1_r1.txt	369.943396707483
74	74	../simulations/n_vars_1\sim_data\sample_74\sim_output\1\sim_prot_1_1_r1.txt	570.9620969355386
75	75	../simulations/n_vars_1\sim_data\sample_75\sim_output\1\sim_prot_1_1_r1.txt	184.6887719703483
76	76	../simulations/n_vars_1\sim_data\sample_76\sim_output\1\sim_prot_1_1_r1.txt	90.15825657234967
77	77	../simulations/n_vars_1\sim_data\sample_77\sim_output\1\sim_prot_1_1_r1.txt	142.3496933011311
78	78	../simulations/n_vars_1\sim_data\sample_78\sim_output\1\sim_prot_1_1_r1.txt	252.4125283393067
79	79	../simulations/n_vars_1\sim_data\sample_79\sim_output\1\sim_prot_1_1_r1.txt	360.7473672976573
80	80	../simulations/n_vars_1\sim_data\sample_80\sim_output\1\sim_prot_1_1_r1.txt	174.6403026770584
81	81	../simulations/n_vars_1\sim_data\sample_81\sim_output\1\sim_prot_1_1_r1.txt	247.3828794690856
82	82	../simulations/n_vars_1\sim_data\sample_82\sim_output\1\sim_prot_1_1_r1.txt	141.8353365102093
83	83	../simulations/n_vars_1\sim_data\sample_83\sim_output\1\sim_prot_1_1_r1.txt	226.0796533852902
84	84	../simulations/n_vars_1\sim_data\sample_84\sim_output\1\sim_prot_1_1_r1.txt	165.1270875036547
85	85	../simulations/n_vars_1\sim_data\sample_85\sim_output\1\sim_prot_1_1_r1.txt	266.807922258399
86	86	../simulations/n_vars_1\sim_data\sample_86\sim_output\1\sim_prot_1_1_r1.txt	172.9686029753842
87	87	../simulations/n_vars_1\sim_data\sample_87\sim_output\1\sim_prot_1_1_r1.txt	557.4481876640017
88	88	../simulations/n_vars_1\sim_data\sample_88\sim_output\1\sim_prot_1_1_r1.txt	235.9747248658472
89	89	../simulations/n_vars_1\sim_data\sample_89\sim_output\1\sim_prot_1_1_r1.txt	476.0524983137551
90	90	../simulations/n_vars_1\sim_data\sample_90\sim_output\1\sim_prot_1_1_r1.txt	261.0437246678729
91	91	../simulations/n_vars_1\sim_data\sample_91\sim_output\1\sim_prot_1_1_r1.txt	118.9429371399424
92	92	../simulations/n_vars_1\sim_data\sample_92\sim_output\1\sim_prot_1_1_r1.txt	494.1416075896454
93	93	../simulations/n_vars_1\sim_data\sample_93\sim_output\1\sim_prot_1_1_r1.txt	526.7854116862009
94	94	../simulations/n_vars_1\sim_data\sample_94\sim_output\1\sim_prot_1_1_r1.txt	146.2258555570655
95	95	../simulations/n_vars_1\sim_data\sample_95\sim_output\1\sim_prot_1_1_r1.txt	451.614108556562
96	96	../simulations/n_vars_1\sim_data\sample_96\sim_output\1\sim_prot_1_1_r1.txt	214.0961249657833
97	97	../simulations/n_vars_1\sim_data\sample_97\sim_output\1\sim_prot_1_1_r1.txt	144.8518594010977
98	98	../simulations/n_vars_1\sim_data\sample_98\sim_output\1\sim_prot_1_1_r1.txt	205.7770020451346
99	99	../simulations/n_vars_1\sim_data\sample_99\sim_output\1\sim_prot_1_1_r1.txt	132.6323826180191
100	100	../simulations/n_vars_1\sim_data\sample_100\sim_output\1\sim_prot_1_1_r1.txt	624.1726024243752
